ジャンルID,ジャンル名,ジャンルレベル
500063,作曲家名・ア行,5
500064,作曲家名・カ行,5
500065,作曲家名・サ行,5
500066,作曲家名・タ行,5
500067,作曲家名・ナ行,5
500068,作曲家名・ハ行,5
500069,作曲家名・マ行,5
500070,作曲家名・ヤ行,5
500071,作曲家名・ラ行,5
500072,作曲家名・ワ行,5
500073,その他,5
500074,室内楽,4
500075,作曲家名・ア行,5
500076,作曲家名・カ行,5
500077,作曲家名・サ行,5
500078,作曲家名・タ行,5
500079,作曲家名・ナ行,5
500080,作曲家名・ハ行,5
500081,作曲家名・マ行,5
500082,作曲家名・ヤ行,5
500083,作曲家名・ラ行,5
500084,作曲家名・ワ行,5
500085,その他,5
500086,交響曲,4
500087,作曲家名・ア行,5
500088,作曲家名・カ行,5
500089,作曲家名・サ行,5
500090,作曲家名・タ行,5
500091,作曲家名・ナ行,5
500092,作曲家名・ハ行,5
500093,作曲家名・マ行,5
500094,作曲家名・ヤ行,5
500095,作曲家名・ラ行,5
500096,作曲家名・ワ行,5
500097,その他,5
500098,管弦楽,4
500099,作曲家名・ア行,5
500100,作曲家名・カ行,5
500101,作曲家名・サ行,5
500102,作曲家名・タ行,5
500103,作曲家名・ナ行,5
500104,作曲家名・ハ行,5
500105,作曲家名・マ行,5
500106,作曲家名・ヤ行,5
500107,作曲家名・ラ行,5
500108,作曲家名・ワ行,5
500109,その他,5
500110,協奏曲,4
500111,作曲家名・ア行,5
500112,作曲家名・カ行,5
500113,作曲家名・サ行,5
500114,作曲家名・タ行,5
500115,作曲家名・ナ行,5
500116,作曲家名・ハ行,5
500117,作曲家名・マ行,5
500118,作曲家名・ヤ行,5
500119,作曲家名・ラ行,5
500120,作曲家名・ワ行,5
500121,その他,5
500122,古楽・バロック・宗教音楽,4
505066,オペラ・バレエ,4
505067,歌劇,5
505068,楽劇,5
101313,その他,5
500123,声楽・歌曲・合唱,4
500124,吹奏楽,4
500125,現代音楽,4
